epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,1120.28,0.94475,0.71553,1.9394,0.75313,0.76937,0.76129,0.55493,1.15082,1.01499,2.7283,2.30784e-05,2.30784e-05,2.30784e-05
141,1128.92,0.77096,0.52003,1.83085,0.75928,0.75036,0.75255,0.54557,1.16873,1.01061,2.69885,2.08169e-05,2.08169e-05,2.08169e-05
142,1136.8,0.77039,0.50387,1.82466,0.78343,0.73216,0.75429,0.54261,1.17219,0.99785,2.70512,1.87678e-05,1.87678e-05,1.87678e-05
143,1144.6,0.76106,0.48899,1.80202,0.78228,0.73497,0.75662,0.54947,1.16845,1.00333,2.69091,1.6932e-05,1.6932e-05,1.6932e-05
144,1152.37,0.75376,0.48021,1.78764,0.78671,0.74229,0.76467,0.55042,1.16133,0.99955,2.67255,1.53102e-05,1.53102e-05,1.53102e-05
145,1160.19,0.75735,0.48532,1.81025,0.79146,0.74364,0.76704,0.55447,1.15767,1.0019,2.71828,1.39032e-05,1.39032e-05,1.39032e-05
146,1167.99,0.75441,0.48171,1.80889,0.77829,0.7467,0.76527,0.55187,1.15871,1.00334,2.71615,1.27117e-05,1.27117e-05,1.27117e-05
147,1175.72,0.75043,0.47293,1.79992,0.76404,0.76654,0.76508,0.55255,1.16085,1.00786,2.71513,1.1736e-05,1.1736e-05,1.1736e-05
148,1183.52,0.74638,0.47806,1.80721,0.76448,0.76466,0.76753,0.55349,1.15719,1.00258,2.69921,1.09768e-05,1.09768e-05,1.09768e-05
149,1191.29,0.7506,0.47243,1.81063,0.79381,0.74002,0.76697,0.55368,1.15429,1.0001,2.68725,1.04342e-05,1.04342e-05,1.04342e-05
150,1199,0.74797,0.47171,1.80377,0.76572,0.76453,0.76913,0.55477,1.15532,1.0054,2.71444,1.01086e-05,1.01086e-05,1.01086e-05
